RMA;Real Madrid;Madrid;España;Smartbank;Santiago Bernabeu
JUV;Juventus;Turín;Italia;Serie A;Estadio Juventus
ROM;Roma;Roma;Italia;Serie A;Olímpico de Roma
UNI;Manchester United;Mánchester;Inglaterra;Premier League;Old Trafford
CIT;Manchester City;Mánchester;Inglaterra;Premier League;Etihad Stadium
CHE;Chelsea;Londres;Inglaterra;Premier League;Stamford Bridge
AJA;Ajax;Ámsterdam;Holanda;Eredivisie;Amsterdam Arena
BOC;Boca Juniors;Buenos Aires;Argentina;Primera División Argentina;La Bombonera
BAY;Bayern Munich;Múnich;Alemania;Bundesliga;Allianz Arena
BOR;Borussia Dortmund;Dortmund;Alemania;Bundesliga;Signal Iduna Park
BLE;Bayer Leverkusen;Leverkusen;Alemania;Bundesliga;BayArena
VAL;Valencia;Valencia;España;Smartbank;Mestalla
VIL;Villarreal;Villarreal;España;Smartbank;La Cerámica
BET;Real Betis;Sevilla;España;Smartbank;Benito Villamarín
SEV;Sevilla;Sevilla;España;Smartbank;Ramón Sánchez-Pizjuán
LIV;Liverpool;Liverpool;Inglaterra;Premier League;Anfield
ARS;Arsenal;Londres;Inglaterra;Premier League;Emirates Stadium
PSG;Paris Saint Germain;París;Francia;Ligue 1;Parque de los príncipes
LYO;Olympique de Lyon;Lyon;Francia;Ligue 1;Parc Olympique Lyonnais
MAR;Olympique de Marsella;Marsella;Francia;Ligue 1;Vélodrome
FCB;Barcelona;Barcelona;España;Smartbank;Camp Nou
ATM;Atlético de Madrid;Madrid;España;Smartbank;Wanda Metropolitano
ACM;AC Milan;Milán;Italia;Serie A;San Siro
INT;Inter de Milan;Milán;Italia;Serie A;San Siro
